city_slug,neighborhood_slug,full_price
ahvaz,amaniyeh-ahvaz,3378.8541666666665
ahvaz,ariyashahr,2744.327485377193
ahvaz,baharestan-ahvaz,2149.631655460452
ahvaz,bahonar,2359.730800851016
ahvaz,camplojonoobi,2148.0278621996617
ahvaz,camploshomali,2842.479797978788
ahvaz,cantex,1349.868539770115
ahvaz,daghagheleh,2324.9266666666667
ahvaz,farhangian,1804.2242381054853
ahvaz,farhangshahr-ahvaz,2555.5027529324325
ahvaz,fooladshahr-ahvaz,2798.4821428541663
ahvaz,golestan-ahvaz,2710.797546578814
ahvaz,hasirabad,1158.9005539790026
ahvaz,kianabad,3875.354017406644
ahvaz,kianpars,4427.762022520288
ahvaz,kianshahr,2114.2819213275616
ahvaz,koorosh,2684.77543100066
ahvaz,kooy-e-modarres,2882.5
ahvaz,kooyealavi,1789.2906311197692
ahvaz,kooyenaft,3594.2337164712644
ahvaz,kooyramezan,1213.716602551724
ahvaz,kut-abdollah,2068.042242674208
ahvaz,lashkarabad,2737.9388082028986
ahvaz,mahdis,1455.2624394710922
ahvaz,mellirah,3600.7552786074766
ahvaz,moeinzadeh,1287.7308641466668
ahvaz,nabovvat,2576.16091954023
ahvaz,naderi,2343.351525947312
ahvaz,newsite,3250.3333333333335
ahvaz,padad-phase-2,2517.864357087644
ahvaz,padadshahr,2993.074431884058
ahvaz,padadshahr-phase-1,2174.087791358025
ahvaz,pardis-ahvaz,1226.2151617044299
ahvaz,piroozi,3782.287580392157
ahvaz,resalat,1918.6299544502924
ahvaz,saddastgah,2568.8841684313725
ahvaz,sepidar,1772.601892603524
ahvaz,shahrak-e-aghajari,2367.495220967742
ahvaz,shahrak-e-haffari,3504.84126984127
ahvaz,shahrakdaneshgah,2325.179259653172
ahvaz,shahraknaft,4082.5
ahvaz,shariatijonoobi,2726.13420347992
ahvaz,sisad-dastgah,2366.528180347826
ahvaz,soltanmanesh,3208.262345675926
ahvaz,taleghani,2349.6618092896174
ahvaz,yoosefi,2079.3874643846157
ahvaz,zergan,1727.4080937412757
ahvaz,zeytunkargari,1766.0011001056107
ahvaz,zeytunkarmandi,3247.3156872642326
ahvaz,zibashahr-ahvaz,2280.2473794528305
bandar-anzali,ansar-alhosein,1570.0
bandar-anzali,azarbayjan,9150.0
bandar-anzali,beshman,1750.0
bandar-anzali,chaharfarize,3624.4444444
bandar-anzali,emamzadeh,9150.0
bandar-anzali,jahangani,6675.0
bandar-anzali,jazireh,2222.222222
bandar-anzali,kelivar,2800.0
bandar-anzali,metropl,5650.0
bandar-anzali,moallem,4500.0
bandar-anzali,nasional,8500.0
bandar-anzali,nime-shaban,3550.0
bandar-anzali,nowruzi,316.66666666666663
bandar-anzali,parastar-bandar-e-anzali,3900.0
bandar-anzali,pardis-bandar-e-anzali,111.111111
bandar-anzali,pasdaran-bandar-e-anzali,5402.8
bandar-anzali,saberhanan,9150.0
bandar-anzali,sahel-gho,8800.0
bandar-anzali,shaliur,1650.0
bandar-anzali,shanghai-pardeh,9150.0
bandar-anzali,si-metri,9150.0
bandar-anzali,susar,1400.0
bandar-anzali,tehran-bandar-e-anzali,420.0
bandar-anzali,zanbagh,2901.6666666666665
isfahan,24-metri,2283.848379622396
isfahan,abbasabad,4949.361111111111
isfahan,abr,2711.2895179487177
isfahan,abshar-isfahan,3848.158454621296
isfahan,afaran,3912.759259255555
isfahan,ahmad-abad-isfahan,3192.4858191171174
isfahan,aineh-khaneh,4247.666079402439
isfahan,amin-abad,1339.364830030303
